[2026-08-01T17:07:13.721348+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="wow"
[2026-08-02T15:14:00.936556+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo echo echo echo echo meow"
[2026-08-02T15:14:00.940318+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).` (2)"
[2026-08-02T15:14:01.058562+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="bobbot9000#8975" (1533157532510584894) | Content="echo echo echo echo meow"
[2026-08-02T15:14:01.192719+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo echo echo meow"
[2026-08-02T15:14:01.201095+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-02T15:14:01.290022+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="bobbot9000#8975" (1533157532510584894) | Content="echo echo meow"
[2026-08-02T15:14:01.355132+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-02T15:14:01.403975+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Emberbot137#6769" (1532899245005475860) | Content="echo meow"
[2026-08-02T15:14:01.498804+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-02T15:14:01.512574+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="bobbot9000#8975" (1533157532510584894) | Content="meow"
[2026-08-02T15:14:01.556125+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-02T15:14:01.663088+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Echoed to 1 target(s).`"
[2026-08-02T15:14:21.490322+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="lol"
[2026-08-02T15:14:51.735402+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="set channel ev"
[2026-08-02T15:14:51.905334+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote] Target channel updated to: #everyone`"
[2026-08-02T15:14:52.161778+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Active Targets] Server: all | Channel: #everyone`"
[2026-08-02T15:14:57.172195+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="spam 400 <@789314712990384168>"
[2026-08-02T15:14:57.379663+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Background spam task started across 1 target(s).`"
[2026-08-02T15:14:57.550306+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="<@789314712990384168> (179)"
[2026-08-02T15:18:00.066036+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="f off"
[2026-08-02T15:18:00.987317+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="<@789314712990384168> (3)"
[2026-08-02T15:18:02.684592+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="stop"
[2026-08-02T15:18:03.218077+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Halted 1 active task(s).`"
[2026-08-02T15:18:32.882257+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="?kick fiaguhop137"
[2026-08-02T15:18:33.058182+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="Dyno#3861" (155149108183695360) | Content=""
[2026-08-02T15:18:46.986399+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="if you keep spamming me ill kick emberbot"
[2026-08-02T15:19:27.453925+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="noooooooooooooooo"
[2026-08-02T15:19:45.664537+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="?purge bots 30"
[2026-08-02T15:20:06.218211+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="?purge bots 300"
[2026-08-02T15:20:06.284144+00:00] Guild="Yap" | Channel="#everyone" | User="bossman_sir" (727526906161004614) | Content="https://tenor.com/view/captain-america-marvel-avengers-gif-14328153"
[2026-08-02T15:20:13.898511+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="?purge bots 100"
[2026-08-02T15:24:54.294240+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="servers"
[2026-08-02T15:24:54.731840+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```markdown
= Connected Servers
 - Yap(1463624406470230232)
  ↳ Channels: emberbot137-remote-console, plasma, plasma-dragon, plasma-frog, plasma-twi, plasma-dragon-twi, plasma-dragon-frog, everyone, remote-controlled-bob
 - Rainbows and Clouds(1511895185007579206)
  ↳ Channels: rainbows, clouds, info
```"
[2026-08-02T15:47:25.516470+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="twillight_no" (1292531498695524470) | Content="HA"
[2026-08-02T17:04:56.325169+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="lol"
[2026-08-02T18:09:03.911189+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-03T13:45:15.727113+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
[Console Controller Active] Connected to 1 guild(s).
```"
[2026-08-03T13:45:16.041359+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Current Target Server: 'all' | Target Channel: '#all'
```"
[2026-08-03T13:45:20.803467+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
[Console Controller Active] Connected to 1 guild(s).
```"
[2026-08-03T13:45:21.053009+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Commands: test, echo <msg>, spam <number> <msg>, stop, delay <seconds> <cmd>, set, servers, help, reboot, exit
```"
[2026-08-03T13:45:21.053800+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Current Target Server: 'all' | Target Channel: '#all'
```"
[2026-08-03T13:45:26.889193+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-03T13:45:27.093011+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Warning] Reboot initiated. 
[Warning] Rebooting...`"
[2026-08-03T13:45:32.418821+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Active] Connected to 3 channels 
Current Target Channel: yap/#everyone 
Type help for a list of commands
```"
[2026-08-03T13:45:39.163637+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 0%"
[2026-08-03T13:45:39.303771+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Error] ALSA rejected the command: amixer: Unable to find simple control 'Master',0
```"
[2026-08-03T13:45:47.578909+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 15"
[2026-08-03T13:45:47.717817+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Error] ALSA rejected the command: amixer: Unable to find simple control 'Master',0
```"
[2026-08-03T13:47:05.425100+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-03T13:47:05.569133+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Warning] Reboot initiated. 
[Warning] Rebooting...`"
[2026-08-03T13:47:06.473760+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[System] Reboot command detected. Executing restart sequence...
```"
[2026-08-03T13:47:10.895865+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Active] Connected to 3 channels 
Current Target Channel: yap/#everyone 
Type help for a list of commands
```"
[2026-08-03T13:47:18.710439+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 0"
[2026-08-03T13:47:18.915055+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Volume set to 0%
```"
[2026-08-03T13:47:23.216418+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 33"
[2026-08-03T13:47:23.372530+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Volume set to 33%
```"
[2026-08-03T13:48:44.093127+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-03T13:48:44.389391+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Warning] Reboot initiated. 
[Warning] Rebooting...`"
[2026-08-03T13:48:45.238575+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[System] Reboot command detected. Executing restart sequence...
```"
[2026-08-03T13:48:50.460978+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Active] Connected to 3 channels 
Current Target Channel: yap/#everyone 
Type help for a list of commands
```"
[2026-08-03T13:48:51.413903+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="help"
[2026-08-03T13:48:51.515900+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```markdown
= Remote Console Commands:
 - test                                    - Send diagnostic report to target(s)
 - echo <msg>                              - Send <msg> to target(s)
 - spam <number> <msg>                     - Send <number> of messages <msg> to target(s)
 - delay <secs> <cmd>                      - Execute <cmd> after <secs> seconds
 - tasks                                   - Lists all active tasks
 - cancel <task_id>                        - Halt active tasks by task id
 - set <server|channel> <name|all>         - Target specific server/channel
 - servers                                 - List connected servers and channels
 - volume <number>                         - Changes volume to <number>%
 - reboot <-c>                             - Initiates reboot and updates. Optional -c flag will open console
 - help                                    - Show this help menu
```"
[2026-08-03T13:50:19.594209+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 0"
[2026-08-03T13:50:19.792513+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Volume set to 0%
```"
[2026-08-03T13:50:26.408727+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 100"
[2026-08-03T13:50:26.594021+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Volume set to 100%
```"
[2026-08-03T13:50:30.882101+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="volume 33"
[2026-08-03T13:50:31.073340+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Volume set to 33%
```"
[2026-08-03T15:10:10.849061+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="reboot"
[2026-08-03T15:10:11.152811+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Warning] Reboot initiated. 
[Warning] Rebooting...`"
[2026-08-03T15:10:16.465934+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Connected to 3 channels 
Current Target Channel: yap/#everyone 
Type help for a list of commands
```"
[2026-08-03T15:10:29.402020+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="tail emberbot137.log"
[2026-08-03T15:10:38.666034+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="servers"
[2026-08-03T15:10:52.087374+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Connected to 3 channels 
Current Target Channel: yap/#everyone 
Type help for a list of commands
``` (3)"
[2026-08-03T15:13:43.089911+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
= Connected Servers & Channels
 - Yap(ID: 1463624406470230232)
  ↳ Channels: emberbot137-remote-console, plasma, plasma-dragon, plasma-frog, plasma-twi, plasma-dragon-twi, plasma-dragon-frog, plasma-twi-frog, everyone, remote-controlled-bob
 - Rainbows and Clouds(ID: 1511895185007579206)
  ↳ Channels: rainbows, clouds, info
 - Queer City(ID: 1533520595004821645)
  ↳ Channels: rules, announcements, chat, debates, bot, qotd-discussion, qotd, moderator, safety
```"
[2026-08-03T15:13:56.815790+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
File "/usr/local/lib/python3.12/dist-packages/discord/client.py", line 508, in _run_event
    await coro(*args, **kwargs)
  File "/home/firebot/git/Emberbot137/emberbot137.py", line 384, in on_message
    parts=content.split(" ",1)
                          ^^^^^
AttributeError: 'Client' object has no attribute 'command_prefix'
Ignoring exception in on_message
Traceback (most recent call last):
  File "/usr/local/lib/python3.12/dist-packages/discord/client.py", line 508, in _run_event
    await coro(*args, **kwargs)
  File "/home/firebot/git/Emberbot137/emberbot137.py", line 384, in on_message
    parts=content.split(" ",1)
                          ^^^^^
AttributeError: 'Client' object has no attribute 'command_prefix'
~~~~~~~~~~~~~~
```"
[2026-08-03T15:16:30.584947+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="```text
[Success] Connected to 3 channels 
Current Target Channel: yap/#everyone 
Type help for a list of commands
```"
[2026-08-04T02:12:24.010893+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
[Console Controller Active] Connected to 1 guild(s).
```"
[2026-08-04T02:12:24.184548+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Current Target Server: 'all' | Target Channel: '#all'
```"
[2026-08-04T02:12:24.186411+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="```text
Commands: test, echo <msg>, spam <number> <msg>, stop, delay <seconds> <cmd>, set, servers, help, reboot, exit
```"
[2026-08-04T02:13:15.776313+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="yayyy"
[2026-08-04T02:13:18.968302+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="set channel everyone"
[2026-08-04T02:13:19.176871+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote] Target channel updated to: #everyone`"
[2026-08-04T02:13:19.368652+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Active Targets] Server: all | Channel: #everyone`"
[2026-08-04T02:13:20.813219+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="set server yap"
[2026-08-04T02:13:20.917430+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote] Target server updated to: Yap`"
[2026-08-04T02:13:21.204644+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Active Targets] Server: Yap | Channel: #everyone`"
[2026-08-04T02:13:32.062756+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 10000 ????????????????? THE HELL ARE THESE PICTURES BRO"
[2026-08-04T02:13:32.200340+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Background spam task started across 1 target(s).`"
[2026-08-04T02:13:32.272895+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="????????????????? THE HELL ARE THESE PICTURES BRO (11)"
[2026-08-04T02:13:39.578878+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="stop"
[2026-08-04T02:13:39.731412+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Halted 1 active task(s).`"
[2026-08-04T02:14:22.436451+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content=" (3)"
[2026-08-04T02:14:40.966924+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="set server yap"
[2026-08-04T02:14:41.180801+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Success] Target server updated to: Yap`"
[2026-08-04T02:14:41.605138+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Success] Retrieved active channel: Yap/#everyone`"
[2026-08-04T02:14:48.641200+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 10000 bro what- this is so unhinged stopp"
[2026-08-04T02:14:48.800219+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Background spam task started across 1 target(s).`"
[2026-08-04T02:14:48.808050+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="bro what- this is so unhinged stopp (5)"
[2026-08-04T02:14:52.411706+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="echo"
[2026-08-04T02:14:52.510216+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="bro what- this is so unhinged stopp (10)"
[2026-08-04T02:15:04.288141+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="fiaguhop137" (1342173566828810271) | Content="stop"
[2026-08-04T02:15:04.502105+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Halted 1 active task(s).`"
[2026-08-04T02:15:20.026930+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content=""
[2026-08-04T02:15:30.263936+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="start"
[2026-08-04T02:15:39.113054+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="echo https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:15:39.302590+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:15:39.476779+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Success] Echoed message to 1 target`"
[2026-08-04T02:15:57.645206+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="fiaguhop137" (1342173566828810271) | Content="spam 59 https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:15:57.819218+00:00] Guild="Yap" | Channel="#emberbot137-remote-console" | User="Emberbot137#6769" (1532899245005475860) | Content="`[Success] Initiated background spam task #2 across 1 target.`"
[2026-08-04T02:15:57.836905+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8& (2)"
[2026-08-04T02:15:59.477097+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="?mute ember"
[2026-08-04T02:15:59.531838+00:00] Guild="Yap" | Channel="#everyone" | User="Dyno#3861" (155149108183695360) | Content=""
[2026-08-04T02:16:00.321321+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8& (9)"
[2026-08-04T02:16:10.682849+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="?role remove ember plas"
[2026-08-04T02:16:11.061723+00:00] Guild="Yap" | Channel="#everyone" | User="Dyno#3861" (155149108183695360) | Content=""
[2026-08-04T02:16:11.808802+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8& (2)"
[2026-08-04T02:16:14.260062+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="?mute ember"
[2026-08-04T02:16:14.397335+00:00] Guild="Yap" | Channel="#everyone" | User="Dyno#3861" (155149108183695360) | Content=""
[2026-08-04T02:16:14.434106+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8& (11)"
[2026-08-04T02:16:27.635434+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="?role remove ember ember"
[2026-08-04T02:16:27.901847+00:00] Guild="Yap" | Channel="#everyone" | User="Dyno#3861" (155149108183695360) | Content=""
[2026-08-04T02:16:28.742558+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:16:29.782381+00:00] Guild="Yap" | Channel="#everyone" | User="fiaguhop137" (1342173566828810271) | Content="FAT NUGGETS 4 EVA"
[2026-08-04T02:16:29.849187+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:16:30.558219+00:00] Guild="Yap" | Channel="#everyone" | User="dragondog558" (789314712990384168) | Content="sigh"
[2026-08-04T02:16:31.191059+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8& (15)"
[2026-08-04T02:16:50.367673+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="dragondog558" (789314712990384168) | Content="spam 10000000000 shutup"
[2026-08-04T02:16:50.616021+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="shutup"
[2026-08-04T02:16:50.834340+00:00] Guild="Yap" | Channel="#remote-controlled-bob" | User="bobbot9000#8975" (1533157532510584894) | Content="`[Remote Success] Background spam task started across 1 target(s).`"
[2026-08-04T02:16:51.293862+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:16:51.392147+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="shutup (2)"
[2026-08-04T02:16:52.587937+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:16:52.799694+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="shutup (2)"
[2026-08-04T02:16:53.769939+00:00] Guild="Yap" | Channel="#everyone" | User="Emberbot137#6769" (1532899245005475860) | Content="https://cdn.discordapp.com/attachments/1532936635682000996/1534021892246077511/image0.gif?ex=6a729cb7&is=6a714b37&hm=a9f521908fbd35194cda5f6bb4071dd5e049fb819728bc1aabad7f41bc2c9da8&"
[2026-08-04T02:16:54.512896+00:00] Guild="Yap" | Channel="#everyone" | User="bobbot9000#8975" (1533157532510584894) | Content="shutup"
